capturedAtUtc,publishTime,publishTimeRaw,buying,cashBuying,selling,cashSelling,middle,htmlSha256,source
2026-01-31 20:54:58,2026-02-01 00:00:05,2026/02/01 00:00:05,694.84,694.84,697.76,697.76,696.78,d4ae05ae98b4f8274fd4b2316db0d62993d1e62d89277732cf760ce713100a24,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 21:23:01,2026-02-01 00:00:05,2026/02/01 00:00:05,694.84,694.84,697.76,697.76,696.78,d4ae05ae98b4f8274fd4b2316db0d62993d1e62d89277732cf760ce713100a24,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 21:43:53,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 21:57:07,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 22:30:33,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 22:53:31,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 23:19:44,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 23:41:48,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-01-31 23:56:41,2026-02-01 05:30:00,2026/02/01 05:30:00,694.84,694.84,697.76,697.76,696.78,782dd57fcf0755ec3bd1231042d5d01a8325f7ff5acd62ef3d0dbfc8a3980e70,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
2026-02-01 02:55:04,2026-02-01 10:30:00,2026/02/01 10:30:00,694.84,694.84,697.76,697.76,696.78,e562a5692d4f3cd12f7528129d983cb5a8cf6b70eb8b4b529b228affe415b33f,https://www.bankofchina.com/sourcedb/whpj/enindex_1619.html
